ID,X,Y,Z
101,0,0,-0.000851965
102,0,0.002000821,-0.002126707
103,0,-0.000387713,-0.006996476
104,0,-0.012492205,-0.026264019
105,0,-0.012299778,0.027721555
106,0,0,-0.049062864
107,0,0,0.000346877
108,0,0.003649759,0.000928701
109,0,0.003130397,0.002180553
110,0,0.048794559,0.008745622
111,0,0.046959879,0.021693551
112,0.086087075,0,-0.003127049
113,0,-0.001409684,0.000074744
114,0,-0.002422487,-0.000037414
115,0,-0.006180685,0.001877092
116,0,-0.02419174,0.021737099
117,0,-0.066763236,0.050322158
118,0,-0.018802462,0.049239589
119,0,0,-0.021457542
120,0,0.007513763,-0.006772139
121,0,-0.002935986,-0.001204707
122,0,-0.022874186,-0.010338898
123,0,-0.082242679,-0.041052766
124,0,-0.086211286,-0.054258614
125,0,0,-0.017065679
126,0,0.003748538,0.001265069
127,0,0.032261459,0.022776936
128,0.099099032,0,-0.008850506
129,0,0.055679044,-0.00204785
130,0,0.150461993,-0.036414169
131,0,0,0.003519596
132,0,-0.092380257,0.011016529
133,0,0.119200297,0.026724969
134,0,-0.073362629,-0.065635978
135,0.066822538,0,0.065207429
136,0,0,-0.011551155
137,0,0.139429195,-0.013953828
138,0,-0.0887722,-0.017970625
139,0,0,0.086440327
140,0,0,-0.021904193
141,0,0,0.004315918
142,0,0,-0.008734368
143,0,0,-0.016387574
207,0,0,0.000058342
208,0,-0.004635509,-0.000141468
209,0,-0.00441052,-0.001652356
210,0,-0.04943106,-0.00880261
211,0,-0.049181611,-0.022156759
212,0.085345048,0,0.002636191
214,0,-0.000825243,-0.000364542
215,0,0.003662036,-0.002853926
216,0,0.025223137,-0.022508853
217,0,0.066956527,-0.050713569
218,0,0.022851624,-0.048499346
219,0,0,0.020476072
220,0,-0.003530634,0.003401053
221,0,0.011261368,-0.003305027
222,0,0.026205482,0.009509769
223,0,0.081554666,0.042807589
224,0,0.082515964,0.054450446
225,0,0,0.018703357
227,0,-0.022742111,-0.013563514
228,0.096146495,0,0.01867766
229,0,-0.060042915,-0.000944213
230,0,-0.14842368,0.036853083
231,0,0,-0.004990692
232,0,0.076061851,-0.00673414
233,0,-0.164001277,-0.027436735
234,0,0.078920941,0.061933437
235,0.072072599,0,-0.065277759
236,0,0,0.013077979
237,0,-0.142508239,0.012277758
238,0,0.129591201,-0.003330472
239,0,0,-0.094517918
240,0,0,0.024298009
241,0,0,-0.003935326
242,0,0,0.025126689
243,0,0,0.017087289
301,0,0,0.000822783
302,0,-0.00088231,0.002378354
303,0,0.000256172,0.007250841
304,0,0.012844727,0.027174425
305,0,0.012614735,-0.027340672
306,0,0,0.049390241
307,0,0,0.000183386
308,0,0.006911227,0.000249223
309,0,0.003727363,-0.001790849
310,0,0.031078419,-0.014916623
311,0,0.023770528,-0.030143597
312,0.074497399,0,-0.008112354
313,0,0.000279617,-0.000033716
314,0,0.001926997,-0.001329183
315,0,-0.011252621,-0.005927148
316,0,-0.021660009,-0.013723664
317,0,-0.054130337,-0.028270087
318,0,-0.045317266,-0.033707904
319,0,0,0.020255188
320,0,0.007969599,0.00835902
321,0,-0.019519336,-0.001898891
322,0,-0.00527296,0.015777234
323,0,-0.086444015,0.005458676
324,0,-0.027128978,0.053997477
325,0,0,0.017653871
326,0,-0.000205267,0.000356088
327,0,0.051184661,-0.022009575
328,0.124210027,0,0.008255406
329,0,-0.001156042,0.036781172
330,0,0.109180814,0.030919037
331,0,0,-0.008197574
332,0,-0.025089821,0.008567991
333,0,-0.019930149,-0.058928004
334,0,0.065102214,0.021840281
335,0.048803377,0,-0.028612053
336,0,0,-0.000728656
337,0,0.128911975,-0.013240663
338,0,-0.075647385,0.025518715
339,0,0,-0.012316163
340,0,0,-0.002511125
341,0,0,-0.001920967
342,0,0,0.006087595
343,0,0,-0.0019385
407,0,0,-0.000059095
408,0,-0.006185348,-0.000210142
409,0,-0.003666772,0.001504514
410,0,-0.03021381,0.014945212
411,0,-0.022426564,0.029760152
412,0.074120791,0,0.007474136
414,0,-0.001466929,0.001212983
415,0,0.011142211,0.00581312
416,0,0.021432136,0.013564488
417,0,0.054975451,0.027852434
418,0,0.043747085,0.033084876
419,0,0,-0.019881462
420,0,-0.008838077,-0.008805289
421,0,0.019501096,0.001794953
422,0,0.004889312,-0.016058431
423,0,0.086029803,-0.00550307
424,0,0.025978279,-0.053746461
425,0,0,-0.017571265
427,0,-0.051759185,0.022568764
428,0.124566736,0,-0.008042836
429,0,-0.00092505,-0.036912159
430,0,-0.107051018,-0.030446479
431,0,0,0.008981769
432,0,0.026674595,-0.008567839
433,0,0.020886135,0.059097778
434,0,-0.06430483,-0.021677383
435,0.048228882,0,0.029052372
436,0,0,-0.000000271
437,0,-0.129065355,0.013040263
438,0,0.074351798,-0.026431375
439,0,0,0.012101554
440,0,0,0.002214986
441,0,0,0.002045308
442,0,0,-0.005429204
443,0,0,0.001841341
