ID,X,Y,Z
101,0,0,0.000146985
102,0,0.003432689,0.000405008
103,0,0.00847071,0.000354347
104,0,-0.032887855,0.004663799
105,0,0.028885056,0.005376148
106,0,0,0.001180527
107,0,0,-0.00133162
108,0,0.007634277,-0.001128768
109,0,-0.005169542,0.000664405
110,0,0.025718967,-0.008954088
111,0,-0.011018706,-0.004642362
112,-0.000682612,0,-0.003425204
113,0,0.008830795,-0.001112834
114,0,0.005245981,0.000333084
115,0,0.004710881,-0.002397057
116,0,0.013919272,0.000117919
117,0,-0.001736791,0.00897123
118,0,0.050893757,-0.012218218
119,0,0,-0.00090693
120,0,-0.000950333,-0.000221582
121,0,0.005882857,-0.001049759
122,0,0.004878808,0.004241332
123,0,0.006951732,-0.009486781
124,0,-0.00990183,0.00189977
125,0,0,0.016424882
126,0,0.011529862,-0.003640397
127,0,0.009705019,-0.0104359
128,-0.021597692,0,-0.006736752
129,0,0.015085696,0.010553114
130,0,0.035659466,-0.008290486
131,0,0,0.000179434
132,0,0.008507513,-0.00001374
133,0,0.02956152,0.002177798
134,0,0.006567537,-0.009965428
135,0.013463296,0,0.005911737
136,0,0,0.009151842
137,0,0.00939385,-0.000305796
138,0,0.014939863,-0.007217566
139,0,0,0.014904546
140,0,0,0.007326524
141,0,0,0.00881263
142,0,0,0.011665752
143,0,0,-0.003065771
207,0,0,-0.00133106
208,0,0.007665993,-0.001152766
209,0,-0.005128302,0.000592596
210,0,0.025754086,-0.009079928
211,0,-0.010820084,-0.004837069
212,0.000702746,0,-0.003476347
214,0,0.005264114,0.000342272
215,0,0.004944804,-0.00237262
216,0,0.014017932,0.000181861
217,0,-0.001567378,0.009224802
218,0,0.051305024,-0.012127523
219,0,0,-0.00096778
220,0,-0.000972666,-0.000191474
221,0,0.005646521,-0.000968867
222,0,0.004552071,0.004451771
223,0,0.006569989,-0.009525518
224,0,-0.010472868,0.001858953
225,0,0,0.016604935
227,0,0.009461704,-0.010666065
228,0.022043829,0,-0.007260355
229,0,0.015422082,0.010538965
230,0,0.035848144,-0.008461263
231,0,0,0.000167161
232,0,0.008007918,0.000303284
233,0,0.031524165,0.001912921
234,0,0.006063769,-0.009351466
235,-0.013904464,0,0.006117581
236,0,0,0.008945376
237,0,0.015163804,-0.001931075
238,0,0.01255308,-0.005723535
239,0,0,0.014183164
240,0,0,0.007093643
241,0,0,0.00879422
242,0,0,0.0110312
243,0,0,-0.00237615
301,0,0,0.000144194
302,0,0.003410502,0.00039599
303,0,0.008246472,0.000365507
304,0,-0.033134115,0.004676632
305,0,0.028702212,0.005426693
306,0,0,0.001152105
307,0,0,0.001560917
308,0,0.009593557,0.001479846
309,0,-0.00243036,0.000646036
310,0,0.026354109,0.004545604
311,0,0.016457581,0.006507046
312,-0.002273009,0,-0.006657733
313,0,0.009885773,0.001975222
314,0,0.007846472,0.000408669
315,0,0.005548691,0.000194595
316,0,0.014358628,0.000186729
317,0,-0.005990345,-0.011073019
318,0,0.03359116,0.002697948
319,0,0,0.00556303
320,0,0.005003765,-0.000305234
321,0,0.002193145,-0.000003415
322,0,0.006406147,-0.002981052
323,0,-0.005565799,0.000874157
324,0,0.002648433,0.008327195
325,0,0,-0.013010434
326,0,0.003008146,0.000833816
327,0,0.01062197,0.003466127
328,-0.00390154,0,0.005324498
329,0,-0.002371248,0.002913802
330,0,0.037659366,0.008634357
331,0,0,-0.003268174
332,0,0.008574172,0.004534868
333,0,-0.002526979,-0.006202582
334,0,0.041793984,0.006240562
335,0.001423402,0,0.001244243
336,0,0,-0.015834219
337,0,0.0127723,0.00024836
338,0,0.024803442,0.01223805
339,0,0,-0.002247843
340,0,0,-0.014191585
341,0,0,-0.009834016
342,0,0,-0.015350292
343,0,0,0.00095726
407,0,0,0.00156244
408,0,0.009631444,0.001477669
409,0,-0.002451935,0.000601035
410,0,0.026378057,0.004454363
411,0,0.016257935,0.006397786
412,0.002255301,0,-0.006686667
414,0,0.007859284,0.000407472
415,0,0.005471183,0.000177775
416,0,0.014312593,0.000215658
417,0,-0.006087176,-0.010972231
418,0,0.033410938,0.002720377
419,0,0,0.00550547
420,0,0.004984309,-0.000303302
421,0,0.002239464,0.000036683
422,0,0.006334591,-0.00293732
423,0,-0.005263179,0.000902489
424,0,0.002795189,0.008257882
425,0,0,-0.01287977
427,0,0.010723352,0.003486937
428,0.003966441,0,0.005269379
429,0,-0.001932961,0.002929836
430,0,0.036997592,0.008303405
431,0,0,-0.003325097
432,0,0.008571581,0.004554689
433,0,-0.00262628,-0.006244726
434,0,0.041511223,0.006097729
435,-0.001495699,0,0.001104041
436,0,0,-0.015374713
437,0,0.012916172,0.000247781
438,0,0.024960489,0.012363025
439,0,0,-0.002134445
440,0,0,-0.014057832
441,0,0,-0.009905795
442,0,0,-0.015450539
443,0,0,0.000934442
