ID,X,Y,Z
101,0,0,0.000000006
102,0,-0.000000555,-0.000000018
103,0,0.000002598,-0.000000174
104,0,-0.0000122,0.00000179
105,0,-0.00000144,0.000001796
106,0,0,0.000000376
107,0,0,-0.000000561
108,0,0.000000472,-0.000000815
109,0,-0.000001216,-0.000000086
110,0,0.000004079,-0.000003421
111,0,-0.000004291,-0.000002159
112,-0.000001077,0,-0.00000269
113,0,0.000000616,-0.000002182
114,0,0.000001256,-0.000001454
115,0,-0.00000034,-0.000001533
116,0,0.000000576,-0.000000505
117,0,0.000003171,-0.000001879
118,0,0.000001537,-0.000004283
119,0,0,0.00000066
120,0,0.00000207,-0.000001872
121,0,0.00000126,-0.000001417
122,0,0.000000146,-0.000003283
123,0,-0.00000203,-0.000000092
124,0,0.000002818,-0.0000011
125,0,0,-0.000001311
126,0,-0.000000236,-0.000004604
127,0,-0.000001846,0.000000358
128,0.000005857,0,-0.000002062
129,0,-0.000003177,-0.000007209
130,0,-0.000003519,-0.000002635
131,0,0,-0.000003236
132,0,0.000001018,-0.000005189
133,0,-0.000008573,-0.00000604
134,0,0.000009286,-0.00000063
135,-0.000003272,0,-0.000007142
136,0,0,-0.000002465
137,0,0.000000608,-0.000005308
138,0,0.000001071,-0.00000301
139,0,0,-0.000006673
140,0,0,-0.000004571
141,0,0,-0.000005748
142,0,0,-0.000006487
143,0,0,-0.000001005
207,0,0,-0.000000519
208,0,0.000000429,-0.000000629
209,0,0.000001616,-0.000000936
210,0,-0.00000255,0.000001533
211,0,0.000002796,0.000000795
212,-0.000000244,0,0.00000069
214,0,0.000000819,-0.000001424
215,0,0.000000349,-0.00000081
216,0,-0.00000057,-0.000001883
217,0,-0.000001735,-0.000002819
218,0,-0.000004654,0.000000279
219,0,0,-0.000001444
220,0,0.0000017,-0.000001795
221,0,0.000000178,-0.000001851
222,0,0.000000531,-0.00000259
223,0,-0.000000121,-0.000001531
224,0,0.000003388,-0.000004248
225,0,0,-0.000003302
227,0,-0.000000342,-0.000000743
228,-0.000003593,0,-0.000002653
229,0,-0.000001512,-0.000005297
230,0,-0.00000153,-0.000001278
231,0,0,-0.000002237
232,0,-0.000001296,-0.000004236
233,0,-0.000003772,-0.000004793
234,0,0.000003087,-0.000002902
235,0.000001429,0,-0.000005413
236,0,0,-0.000004077
237,0,-0.000001103,-0.000004321
238,0,0.000000994,-0.000005507
239,0,0,-0.000003964
240,0,0,-0.000005234
241,0,0,-0.000006179
242,0,0,-0.000005322
243,0,0,-0.000002193
301,0,0,-0.000000053
302,0,0.000000547,-0.000000073
303,0,-0.000001018,-0.000000401
304,0,0.00000959,-0.000001721
305,0,0.000000631,-0.000001569
306,0,0,-0.000000289
307,0,0,0.000000526
308,0,0.000000239,0.000000505
309,0,0.000000403,0.000000664
310,0,-0.000004916,-0.000000281
311,0,-0.000005498,-0.000001201
312,0.000000684,0,0.000001982
313,0,0.000000762,0.000001726
314,0,-0.000000391,0.000000858
315,0,-0.000000147,0.000000986
316,0,0.00000075,0.000003213
317,0,0.000000296,0.000004507
318,0,0.000000128,0.000002272
319,0,0,0.000000379
320,0,-0.000000656,0.000002166
321,0,-0.000001227,0.000003036
322,0,0.000001343,0.000000954
323,0,0.000005027,0.000001727
324,0,0.000000697,0.000001536
325,0,0,0.000002126
326,0,-0.000003882,0.000003348
327,0,0.000009402,0.000005095
328,-0.000001431,0,0.000004508
329,0,-0.000002838,0.000002975
330,0,-0.00000361,0.000000258
331,0,0,0.000003211
332,0,0.000002136,0.00000531
333,0,-0.000009385,-0.000004942
334,0,0.000003361,0.000002417
335,0.000001784,0,0.000005763
336,0,0,0.000005981
337,0,-0.000001124,0.000002774
338,0,0.000000029,0.000010177
339,0,0,0.000007769
340,0,0,0.000004322
341,0,0,0.000006791
342,0,0,0.000003349
343,0,0,0.000002325
407,0,0,0.000000527
408,0,0.000000767,0.000000719
409,0,-0.000001952,0.000000527
410,0,0.000003679,0.00000126
411,0,0.000007319,0.000003591
412,0.000000443,0,0.000000702
414,0,-0.000000229,0.000000737
415,0,0.000000522,0.000001283
416,0,0.000000595,0.000002221
417,0,-0.000000925,-0.000000433
418,0,0.000000643,-0.000001544
419,0,0,0.00000117
420,0,-0.00000082,0.000002157
421,0,-0.000001193,0.000002757
422,0,0.000000985,0.000000813
423,0,0.000001571,0.000002718
424,0,-0.000002876,0.000003761
425,0,0,0.000002383
427,0,0.00000899,0.000005026
428,0.000000733,0,0.000004682
429,0,-0.000002506,0.000003565
430,0,-0.000000432,0.000001019
431,0,0,0.000003073
432,0,0.000002173,0.000005456
433,0,-0.000008962,-0.000004976
434,0,0.000003313,0.000002509
435,-0.000001314,0,0.000005228
436,0,0,0.000005324
437,0,-0.00000121,0.000002696
438,0,0.000000031,0.000010117
439,0,0,0.000007782
440,0,0,0.000004381
441,0,0,0.000006844
442,0,0,0.000003418
443,0,0,0.000002201
