,ID,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
Fz_001,101,655.968,652.266,643.600,630.036,611.677,588.663,561.169,529.403,493.609,454.058,411.051,364.916,316.004,264.687,211.355,156.415,100.285,43.391,-13.833
Fz_002,102,871.373,867.819,857.661,840.976,817.890,788.579,753.267,712.223,665.757,614.225,558.019,497.565,433.325,365.786,295.464,222.894,148.626,73.228,-2.727
Fz_003,103,965.599,961.869,950.818,932.530,907.146,874.857,835.911,790.602,739.277,682.325,620.181,553.316,482.240,407.495,329.648,249.292,167.039,83.514,-0.646
Fz_004,104,1257.481,1254.339,1241.652,1219.514,1188.096,1147.635,1098.440,1040.886,975.409,902.510,822.741,736.711,645.074,548.528,447.807,343.678,236.933,128.386,18.861
Fz_005,105,1152.780,1148.059,1134.600,1112.506,1081.945,1043.150,996.415,942.098,880.611,812.421,738.049,658.060,573.062,483.703,390.663,294.649,196.394,96.643,-3.843
Fz_006,106,1298.849,1295.385,1282.063,1258.984,1226.323,1184.329,1133.321,1073.689,1005.885,930.425,847.884,758.891,664.122,564.298,460.180,352.559,242.256,130.108,16.971
Fz_007,107,698.523,695.149,686.485,672.596,653.589,629.607,600.834,567.488,529.823,488.126,442.714,393.932,342.152,287.769,231.195,172.862,113.213,52.703,-8.209
Fz_008,108,845.888,836.682,821.108,799.284,771.378,737.601,698.211,653.506,603.828,549.555,491.099,428.906,363.448,295.224,224.754,152.573,79.230,5.285,-68.700
Fz_009,109,893.314,878.378,856.757,828.615,794.167,753.675,707.448,655.836,599.232,538.069,472.810,403.953,332.021,257.563,181.144,103.347,24.764,-54.009,-132.370
Fz_010,110,1138.311,1121.481,1096.116,1062.410,1020.617,971.057,914.107,850.200,779.822,703.509,621.842,535.443,444.969,351.108,254.575,156.104,56.446,-43.642,-143.398
Fz_011,111,1217.641,1249.070,1270.992,1283.242,1285.726,1278.424,1261.393,1234.762,1198.733,1153.582,1099.651,1037.351,967.156,889.600,805.274,714.820,618.925,518.320,413.770
Fz_012,112,1310.264,1344.735,1368.972,1382.790,1386.085,1378.830,1361.082,1332.975,1294.723,1246.618,1189.025,1122.383,1047.199,964.045,873.554,776.415,673.367,565.194,452.720
Fz_013,113,1368.544,1352.502,1326.166,1289.737,1243.493,1187.784,1123.036,1049.741,968.457,879.803,784.452,683.131,576.612,465.704,351.251,234.126,115.218,-4.566,-124.316
Fz_014,114,794.428,779.901,759.438,733.195,701.372,664.211,621.996,575.046,523.720,468.408,409.532,347.538,282.900,216.108,147.672,78.112,7.957,-62.258,-131.999
