ID,LowFault,LowWarning,HighWarning,HighFault
101,-4000000,-3999999,3999999,4000000
102,-4000000,-3999999,3999999,4000000
103,-4000000,-3999999,3999999,4000000
104,-4000000,-3999999,3999999,4000000
105,-4000000,-3999999,3999999,4000000
106,-4000000,-3999999,3999999,4000000
107,-4000000,-3999999,3999999,4000000
108,-4000000,-3999999,3999999,4000000
109,-4000000,-3999999,3999999,4000000
110,-4000000,-3999999,3999999,4000000
111,-4000000,-3999999,3999999,4000000
112,-4000000,-3999999,3999999,4000000
113,-4000000,-3999999,3999999,4000000
114,-4000000,-3999999,3999999,4000000
115,-4000000,-3999999,3999999,4000000
116,-4000000,-3999999,3999999,4000000
117,-4000000,-3999999,3999999,4000000
118,-4000000,-3999999,3999999,4000000
119,-4000000,-3999999,3999999,4000000
120,-4000000,-3999999,3999999,4000000
121,-4000000,-3999999,3999999,4000000
122,-4000000,-3999999,3999999,4000000
123,-4000000,-3999999,3999999,4000000
124,-4000000,-3999999,3999999,4000000
125,-4000000,-3999999,3999999,4000000
126,-4000000,-3999999,3999999,4000000
127,-4000000,-3999999,3999999,4000000
128,-4000000,-3999999,3999999,4000000
129,-4000000,-3999999,3999999,4000000
130,-4000000,-3999999,3999999,4000000
131,-4000000,-3999999,3999999,4000000
132,-4000000,-3999999,3999999,4000000
133,-4000000,-3999999,3999999,4000000
134,-4000000,-3999999,3999999,4000000
135,-4000000,-3999999,3999999,4000000
136,-4000000,-3999999,3999999,4000000
137,-4000000,-3999999,3999999,4000000
138,-4000000,-3999999,3999999,4000000
139,-4000000,-3999999,3999999,4000000
140,-4000000,-3999999,3999999,4000000
141,-4000000,-3999999,3999999,4000000
142,-4000000,-3999999,3999999,4000000
143,-4000000,-3999999,3999999,4000000
207,-4000000,-3999999,3999999,4000000
208,-4000000,-3999999,3999999,4000000
209,-4000000,-3999999,3999999,4000000
210,-4000000,-3999999,3999999,4000000
211,-4000000,-3999999,3999999,4000000
212,-4000000,-3999999,3999999,4000000
214,-4000000,-3999999,3999999,4000000
215,-4000000,-3999999,3999999,4000000
216,-4000000,-3999999,3999999,4000000
217,-4000000,-3999999,3999999,4000000
218,-4000000,-3999999,3999999,4000000
219,-4000000,-3999999,3999999,4000000
220,-4000000,-3999999,3999999,4000000
221,-4000000,-3999999,3999999,4000000
222,-4000000,-3999999,3999999,4000000
223,-4000000,-3999999,3999999,4000000
224,-4000000,-3999999,3999999,4000000
225,-4000000,-3999999,3999999,4000000
227,-4000000,-3999999,3999999,4000000
