ID,Coefficient 5,Coefficient 4,Coefficient 3,Coefficient 2,Coefficient 1,Coefficient 0
101,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
102,0.000000004,0.000000270,-0.000440521,0.000320044,8.395833434,0.002938426
103,0.000000020,0.000001198,-0.001964265,0.001410717,37.446351192,0.012540057
104,0.000000035,0.000002119,-0.003473217,0.002502347,66.209394542,0.022282420
105,0.000000022,0.000001299,-0.002127153,0.001536145,40.547481386,0.013599450
106,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
107,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
108,0.000000002,0.000000131,-0.000209775,0.000159302,3.994375665,0.001403371
109,0.000000012,0.000000702,-0.001147119,0.000829061,21.864639789,0.007393703
110,0.000000031,0.000001847,-0.003029271,0.002177819,57.748842595,0.019419717
111,0.000000025,0.000001523,-0.002494743,0.001795336,47.557202886,0.016081978
112,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
113,0.000000003,0.000000196,-0.000318666,0.000233876,6.071989366,0.002110362
114,0.000000003,0.000000149,-0.000247700,0.000171842,4.725755926,0.001646558
115,0.000000007,0.000000405,-0.000668999,0.000475084,12.757508197,0.004334828
116,0.000000027,0.000001637,-0.002680148,0.001932104,51.089823366,0.017192235
117,0.000000023,0.000001388,-0.002273153,0.001640905,43.330576138,0.014502509
118,0.000000003,0.000000206,-0.000334021,0.000245829,6.364191571,0.002319640
119,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
120,0.000000007,0.000000396,-0.000647613,0.000466641,12.344612670,0.004277516
121,0.000000004,0.000000252,-0.000410102,0.000301390,7.814264686,0.002726963
122,0.000000016,0.000000985,-0.001607242,0.001166915,30.632058481,0.010369782
123,0.000000025,0.000001483,-0.002430352,0.001750301,46.329318869,0.015551085
124,0.000000009,0.000000538,-0.000883994,0.000635338,16.852770738,0.005827236
125,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
126,0.000000016,0.000000970,-0.001591161,0.001141851,30.334606540,0.010219584
127,0.000000013,0.000000758,-0.001239289,0.000896333,23.622130877,0.007971403
128,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
129,0.000000027,0.000001592,-0.002611038,0.001874853,49.776817135,0.016704924
130,0.000000005,0.000000326,-0.000530842,0.000385398,10.116342182,0.003321929
131,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
132,0.000000021,0.000001261,-0.002064946,0.001487950,39.362586104,0.013128158
