ID,Coefficient 5,Coefficient 4,Coefficient 3,Coefficient 2,Coefficient 1,Coefficient 0
101,-0.000000006,0.000003108,-0.000013480,-0.099375407,-0.245530094,655.972210038
102,-0.000000008,0.000004131,-0.000031716,-0.132013039,-0.052980623,871.378498875
103,-0.000000009,0.000004581,-0.000037363,-0.146287936,-0.017194225,965.605454427
104,-0.000000012,0.000005977,-0.000066853,-0.190485986,0.321191895,1257.489222772
105,-0.000000011,0.000005465,-0.000041664,-0.174651752,-0.074083203,1152.787555263
106,-0.000000012,0.000006173,-0.000066796,-0.196753467,0.287975291,1298.857436335
107,-0.000000007,0.000003312,-0.000020236,-0.105818513,-0.147710866,698.527560463
108,-0.000000008,0.000003973,0.000029752,-0.128199324,-1.203859290,845.893204583
109,-0.000000010,0.000004165,0.000085890,-0.135416617,-2.315184239,893.319207735
110,-0.000000012,0.000005323,0.000086243,-0.172537398,-2.509140915,1138.317482165
111,-0.000000007,0.000006011,-0.000426876,-0.184185893,7.211765869,1217.651482613
112,-0.000000008,0.000006471,-0.000466083,-0.198196162,7.890853458,1310.275186615
113,-0.000000014,0.000006422,0.000060058,-0.207416276,-2.177461780,1368.552269577
114,-0.000000009,0.000003693,0.000089731,-0.120445740,-2.307960807,794.432490377
115,-0.000000009,0.000004342,0.000045616,-0.140325015,-1.568647359,925.866505316
116,-0.000000013,0.000005104,0.000212550,-0.168213764,-4.886735938,1109.084687495
117,-0.000000007,0.000005744,-0.000400084,-0.176146622,6.740642419,1164.466891604
118,-0.000000010,0.000005407,-0.000132512,-0.170768965,1.667642546,1127.702866818
119,-0.000000004,0.000002529,-0.000065972,-0.079850033,0.857955405,527.311948601
120,-0.000000012,0.000004224,0.000262575,-0.140917863,-5.708176030,928.763394784
121,-0.000000010,0.000004560,0.000027503,-0.146872152,-1.259459411,969.187907660
122,-0.000000010,0.000005149,-0.000056387,-0.164102952,0.254036244,1083.306410842
123,-0.000000009,0.000005856,-0.000265918,-0.182501913,4.154353517,1205.732169224
124,-0.000000011,0.000006247,-0.000130068,-0.197836460,1.489219363,1306.288141055
125,-0.000000006,0.000004866,-0.000359404,-0.148897824,6.107024922,984.379624412
126,-0.000000022,0.000008322,0.000441573,-0.276132519,-9.793234910,1820.265659338
127,-0.000000014,0.000004449,0.000390235,-0.150715546,-8.191190104,992.821671392
128,-0.000000013,0.000005998,0.000049264,-0.193456048,-1.908468373,1276.547717431
129,-0.000000011,0.000005945,-0.000126752,-0.188341105,1.478914938,1243.545677113
130,-0.000000007,0.000005493,-0.000388220,-0.168346135,6.553259829,1112.936338298
131,-0.000000005,0.000005287,-0.000545586,-0.158634148,9.606049091,1049.535137204
132,-0.000000014,0.000005717,0.000234063,-0.188326935,-5.399260581,1241.757308411
133,-0.000000014,0.000005861,0.000132435,-0.190729804,-3.481023725,1258.167035962
134,-0.000000013,0.000004891,0.000227896,-0.161556926,-5.154180346,1065.181301390
135,-0.000000008,0.000007093,-0.000558205,-0.216300836,9.557023766,1430.191513774
136,-0.000000004,0.000004750,-0.000499639,-0.142256148,8.808675570,941.258252993
137,-0.000000011,0.000005821,-0.000117534,-0.184530444,1.322581699,1218.348360607
138,-0.000000014,0.000005627,0.000244187,-0.185550893,-5.581115220,1223.412139014
139,-0.000000002,0.000004060,-0.000597776,-0.118226582,10.804975143,783.064627046
140,-0.000000002,0.000006138,-0.000953721,-0.177604872,17.287609115,1176.702603318
141,0.000000002,0.000005903,-0.001195851,-0.165198734,21.967134708,1095.942433834
142,0.000000004,0.000005850,-0.001362774,-0.160065095,25.172794003,1062.871357724
143,-0.000000005,0.000002253,0.000060544,-0.073562326,-1.520509881,485.185473633
207,-0.000000007,0.000003307,-0.000024131,-0.105663895,-0.067149186,697.456492165
208,-0.000000009,0.000003979,0.000029617,-0.128377107,-1.202538644,847.072132997
209,-0.000000010,0.000004131,0.000092498,-0.134497043,-2.433608725,887.170874030
210,-0.000000012,0.000005290,0.000095966,-0.171737351,-2.686922274,1132.947444920
211,-0.000000007,0.000006036,-0.000432761,-0.184941029,7.323665665,1222.614531965
212,-0.000000008,0.000006487,-0.000457055,-0.198859585,7.714312275,1314.620180325
214,-0.000000009,0.000003697,0.000082491,-0.120266012,-2.176305560,793.365480640
215,-0.000000009,0.000004340,0.000044285,-0.140174080,-1.544601232,924.888654424
216,-0.000000013,0.000005072,0.000227051,-0.167320348,-5.167202029,1103.218452336
217,-0.000000007,0.000005723,-0.000410822,-0.175224205,6.948281555,1158.451968674
218,-0.000000010,0.000005429,-0.000143072,-0.171333753,1.870278715,1131.440006054
219,-0.000000004,0.000002558,-0.000078511,-0.080600616,1.097285120,532.273835273
220,-0.000000012,0.000004232,0.000248078,-0.140883266,-5.431198188,928.587149177
221,-0.000000009,0.000004575,0.000006071,-0.147036670,-0.845753168,970.307061673
222,-0.000000010,0.000005147,-0.000046238,-0.164347341,0.063839659,1084.819968911
223,-0.000000009,0.000005846,-0.000266531,-0.182164980,4.166089830,1203.543234099
224,-0.000000011,0.000006250,-0.000167670,-0.197128687,2.207498746,1301.819035821
225,-0.000000006,0.000004910,-0.000345740,-0.150527942,5.835921749,995.095493365
227,-0.000000013,0.000004529,0.000322656,-0.151974875,-6.907594148,1001.444037209
228,-0.000000013,0.000006064,0.000042511,-0.195417211,-1.790584478,1289.542866020
229,-0.000000011,0.000005951,-0.000120002,-0.188563135,1.344655306,1245.031678802
230,-0.000000006,0.000005448,-0.000432870,-0.166137841,7.422472403,1098.493473755
231,-0.000000005,0.000005261,-0.000533510,-0.158055210,9.379283285,1045.654071275
232,-0.000000013,0.000005781,0.000114013,-0.187770286,-3.116518954,1238.744908002
233,-0.000000014,0.000005643,0.000168326,-0.184518675,-4.132472714,1216.999733913
234,-0.000000011,0.000004832,0.000123795,-0.157597604,-3.147974646,1039.520708029
235,-0.000000008,0.000007163,-0.000605286,-0.217506227,10.444239880,1438.406876095
236,-0.000000005,0.000004662,-0.000422149,-0.140964692,7.337226106,932.372580082
237,-0.000000012,0.000005646,-0.000000648,-0.181194991,-0.892939618,1195.829765136
238,-0.000000013,0.000006218,-0.000022202,-0.199051087,-0.573955102,1313.798276096
239,-0.000000004,0.000004241,-0.000447458,-0.126902196,7.887193381,839.723162534
240,-0.000000002,0.000006054,-0.000918628,-0.175685675,16.632256481,1163.824039103
241,-0.000000000,0.000005830,-0.001033809,-0.166110389,18.872763193,1101.210638631
242,0.000000001,0.000005547,-0.001108799,-0.155618076,20.359534069,1032.262427931
243,-0.000000004,0.000002382,-0.000077968,-0.074770259,1.107601385,493.879624151
301,-0.000000006,0.000003109,-0.000011868,-0.099537493,-0.271453021,656.975311297
302,-0.000000008,0.000004131,-0.000029791,-0.131838316,-0.097544066,870.293575676
303,-0.000000009,0.000004559,-0.000031105,-0.145654418,-0.137016898,961.436266444
304,-0.000000012,0.000005958,-0.000055918,-0.190141103,0.118095945,1255.117320383
305,-0.000000011,0.000005472,-0.000032941,-0.174978305,-0.246244240,1154.954455644
306,-0.000000012,0.000006207,-0.000073712,-0.197706076,0.415699610,1305.162526878
307,-0.000000006,0.000003302,-0.000036036,-0.105315786,0.162628809,695.201525930
308,-0.000000007,0.000004047,-0.000090745,-0.127923492,1.084133439,844.754772119
309,-0.000000007,0.000004295,-0.000147916,-0.134856701,2.145019991,890.718530504
310,-0.000000009,0.000005473,-0.000161863,-0.172370136,2.223543127,1138.352331246
311,-0.000000015,0.000005417,0.000361171,-0.181128780,-7.791641733,1193.702451508
312,-0.000000017,0.000005970,0.000379659,-0.199271777,-8.235465294,1313.376992380
313,-0.000000011,0.000006568,-0.000185165,-0.206963124,2.490981471,1366.814634399
314,-0.000000006,0.000003838,-0.000155596,-0.119966120,2.362321610,792.528920702
315,-0.000000008,0.000004436,-0.000124634,-0.139806330,1.675406769,923.285811653
316,-0.000000008,0.000005379,-0.000297231,-0.166485216,4.827312283,1100.226804897
317,-0.000000015,0.000005274,0.000354583,-0.176535767,-7.636581514,1163.348082189
318,-0.000000013,0.000005305,0.000179736,-0.173864095,-4.298360006,1146.646968697
319,-0.000000005,0.000002500,-0.000016212,-0.079898596,-0.090900410,527.387296335
320,-0.000000005,0.000004601,-0.000367931,-0.140316649,6.316641537,927.729168912
321,-0.000000008,0.000004669,-0.000125320,-0.147251553,1.649246901,972.457887681
322,-0.000000010,0.000005144,-0.000037300,-0.164488021,-0.104772171,1085.674124546
323,-0.000000013,0.000005634,0.000084814,-0.182494534,-2.531786409,1204.041021880
324,-0.000000014,0.000006004,0.000161600,-0.195954672,-4.061312862,1292.493150338
325,-0.000000013,0.000004452,0.000297611,-0.148893060,-6.417629101,981.242419113
326,-0.000000011,0.000009009,-0.000652705,-0.275871113,11.059899058,1823.794698069
327,-0.000000004,0.000005031,-0.000545806,-0.150335535,9.648394788,994.795748468
328,-0.000000010,0.000006132,-0.000189236,-0.192978672,2.642448447,1274.498154910
329,-0.000000013,0.000005696,0.000095519,-0.184698067,-2.746041574,1218.519996373
330,-0.000000013,0.000005161,0.000186933,-0.169468294,-4.409123331,1117.543895912
331,-0.000000012,0.000004924,0.000171418,-0.161532754,-4.073548492,1065.240481866
332,-0.000000009,0.000006009,-0.000273380,-0.187199954,4.269251874,1236.825528153
333,-0.000000011,0.000006202,-0.000188556,-0.195226867,2.618305159,1289.329382110
334,-0.000000007,0.000005124,-0.000327502,-0.157819388,5.452749790,1043.129793159
335,-0.000000018,0.000006547,0.000395465,-0.218092141,-8.630461104,1437.495473826
336,-0.000000016,0.000004089,0.000642807,-0.144252951,-12.974100106,948.991724136
337,-0.000000012,0.000005688,0.000047428,-0.183560158,-1.819898808,1211.191370617
338,-0.000000010,0.000005843,-0.000190298,-0.183626943,2.707235904,1212.801858700
339,-0.000000013,0.000003431,0.000555667,-0.121307422,-11.201630516,797.999396591
340,-0.000000021,0.000005068,0.000908853,-0.181084379,-18.228319839,1190.784731994
341,-0.000000021,0.000004573,0.001007175,-0.167236956,-20.031153183,1098.912400067
342,-0.000000023,0.000004351,0.001218630,-0.164349390,-24.049624571,1078.886973074
