ID,DataIndex
102,1
103,2
104,3
105,4
108,7
109,8
110,9
111,10
113,12
114,13
115,14
116,15
117,16
118,17
120,19
121,20
122,21
123,22
124,23
126,25
127,26
129,28
130,29
132,31
133,32
134,33
137,36
138,37
208,44
209,45
210,46
211,47
214,49
215,50
217,52
218,53
219,54
220,55
221,56
222,57
223,58
224,59
227,61
229,63
230,64
232,66
233,67
234,68
237,71
238,72
302,79
303,80
304,81
305,82
308,85
309,86
310,87
311,88
313,90
314,91
315,92
316,93
317,94
318,95
320,97
321,98
322,99
323,100
324,101
326,103
327,104
329,106
330,107
332,109
333,110
334,111
337,114
338,115
408,122
409,123
410,124
411,125
414,127
415,128
416,129
417,130
418,131
420,133
421,134
422,135
423,136
424,137
427,139
429,141
430,142
432,144
433,145
434,146
437,149
438,150
