ID,DataIndex
101,-1
102,0
103,1
104,2
105,3
106,-1
107,-1
108,4
109,5
110,6
111,7
112,-1
113,8
114,9
115,10
116,11
117,12
118,13
119,-1
120,14
121,15
122,16
123,17
124,18
125,-1
126,19
127,20
128,-1
129,21
130,22
131,-1
132,23
133,24
134,25
135,-1
136,-1
137,26
138,27
139,-1
140,-1
141,-1
142,-1
143,-1
207,-1
208,28
209,29
210,30
211,31
212,-1
214,32
215,33
216,-1
217,34
218,35
219,36
220,37
221,38
222,39
223,40
224,41
225,-1
227,42
228,-1
229,43
230,44
231,-1
232,45
233,46
234,47
235,-1
236,-1
237,48
238,49
239,-1
240,-1
241,-1
242,-1
243,-1
301,-1
302,50
303,51
304,52
305,53
306,-1
307,-1
308,54
309,55
310,56
311,57
312,-1
313,58
314,59
315,60
316,61
317,62
318,63
319,-1
320,64
321,65
322,66
323,67
324,68
325,-1
326,69
327,70
328,-1
329,71
330,72
331,-1
332,73
333,74
334,75
335,-1
336,-1
337,76
338,77
339,-1
340,-1
341,-1
342,-1
343,-1
407,-1
408,78
409,79
410,80
411,81
412,-1
414,82
415,83
416,84
417,85
418,86
419,-1
420,87
421,88
422,89
423,90
424,91
425,-1
427,92
428,-1
429,93
430,94
431,-1
432,95
433,96
434,97
435,-1
436,-1
437,98
438,99
439,-1
440,-1
441,-1
442,-1
443,-1
