ID,X,Y,Z
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,-5.081299e-07
108,0,0,-6e-07
109,0,0,-6.510678e-07
110,0,0,-8.142113e-07
111,0,0,-8.506577e-07
112,0,0,-9.133318e-07
113,0,0,-1.9493017e-06
114,0,0,-1.1404909e-06
115,0,0,-1.3294806e-06
116,0,0,-1.5184704e-06
117,0,0,-1.5954506e-06
118,0,0,-1.6082579e-06
119,0,0,-6.705463e-07
120,0,0,-2.0175661e-06
121,0,0,-2.1031778e-06
122,0,0,-2.2942663e-06
123,0,0,-2.5828407e-06
124,0,0,-2.7222229e-06
125,0,0,-1.8355355e-06
126,0,0,-5.1380524e-06
127,0,0,-2.7895142e-06
128,0,0,-3.5168066e-06
129,0,0,-3.4762047e-06
130,0,0,-3.0671878e-06
131,0,0,-2.8318794e-06
132,0,0,-4.3050701e-06
133,0,0,-4.5537233e-06
134,0,0,-3.6796902e-06
135,0,0,-4.9944867e-06
136,0,0,-3.2434053e-06
137,0,0,-5.1166171e-06
138,0,0,-5.142e-06
139,0,0,-3.0018166e-06
140,0,0,-5.1289362e-06
141,0,0,-5.5378972e-06
142,0,0,-5.0701098e-06
143,0,0,-2.291e-06
207,0,0,-5.081299e-07
208,0,0,-6e-07
209,0,0,-6.510678e-07
210,0,0,-8.142113e-07
211,0,0,-8.506577e-07
212,0,0,-9.133318e-07
214,0,0,-1.1404909e-06
215,0,0,-1.3294806e-06
216,0,0,-1.5184704e-06
217,0,0,-1.5954506e-06
218,0,0,-1.6082579e-06
219,0,0,-6.705463e-07
220,0,0,-2.0175661e-06
221,0,0,-2.1031778e-06
222,0,0,-2.2942663e-06
223,0,0,-2.5828407e-06
224,0,0,-2.7222229e-06
225,0,0,-1.8355355e-06
227,0,0,-2.7895142e-06
228,0,0,-3.5168066e-06
229,0,0,-3.4762047e-06
230,0,0,-3.0671878e-06
231,0,0,-2.8318794e-06
232,0,0,-4.3050701e-06
233,0,0,-4.5537233e-06
234,0,0,-3.6796902e-06
235,0,0,-4.9944867e-06
236,0,0,-3.2434053e-06
237,0,0,-5.1166171e-06
238,0,0,-5.142e-06
239,0,0,-3.0018166e-06
240,0,0,-5.1289362e-06
241,0,0,-5.5378972e-06
242,0,0,-5.0701098e-06
243,0,0,-2.291e-06
301,0,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,5.081299e-07
308,0,0,6e-07
309,0,0,6.510678e-07
310,0,0,8.142113e-07
311,0,0,8.506577e-07
312,0,0,9.133318e-07
313,0,0,1.9493034e-06
314,0,0,1.1404919e-06
315,0,0,1.3294818e-06
316,0,0,1.5184717e-06
317,0,0,1.5954519e-06
318,0,0,1.6082593e-06
319,0,0,6.705463e-07
320,0,0,2.0175614e-06
321,0,0,2.103173e-06
322,0,0,2.294261e-06
323,0,0,2.5828347e-06
324,0,0,2.7222166e-06
325,0,0,1.8355416e-06
326,0,0,5.1380569e-06
327,0,0,2.7895166e-06
328,0,0,3.5168097e-06
329,0,0,3.4762077e-06
330,0,0,3.0671905e-06
331,0,0,2.8318755e-06
332,0,0,4.3050656e-06
333,0,0,4.5537186e-06
334,0,0,3.6796864e-06
335,0,0,4.9944815e-06
336,0,0,3.2434065e-06
337,0,0,5.1166201e-06
338,0,0,5.142e-06
339,0,0,3.0018175e-06
340,0,0,5.1289377e-06
341,0,0,5.5378972e-06
342,0,0,5.0701138e-06
343,0,0,2.291e-06
407,0,0,5.081299e-07
408,0,0,6e-07
409,0,0,6.510678e-07
410,0,0,8.142113e-07
411,0,0,8.506577e-07
412,0,0,9.133318e-07
414,0,0,1.1404919e-06
415,0,0,1.3294818e-06
416,0,0,1.5184717e-06
417,0,0,1.5954519e-06
418,0,0,1.6082593e-06
419,0,0,6.705463e-07
420,0,0,2.0175614e-06
421,0,0,2.103173e-06
422,0,0,2.294261e-06
423,0,0,2.5828347e-06
424,0,0,2.7222166e-06
425,0,0,1.8355416e-06
427,0,0,2.7895166e-06
428,0,0,3.5168097e-06
429,0,0,3.4762077e-06
430,0,0,3.0671905e-06
431,0,0,2.8318755e-06
432,0,0,4.3050656e-06
433,0,0,4.5537186e-06
434,0,0,3.6796864e-06
435,0,0,4.9944815e-06
436,0,0,3.2434065e-06
437,0,0,5.1166201e-06
438,0,0,5.142e-06
439,0,0,3.0018175e-06
440,0,0,5.1289377e-06
441,0,0,5.5378972e-06
442,0,0,5.0701138e-06
443,0,0,2.291e-06
