ID,X,Y,Z
101,0,0,0
102,0,4.737e-06,0
103,0,8.254e-06,0
104,0,-2.6339e-05,0
105,0,1.5163e-05,0
106,0,0,0
107,0,0,0
108,0,2e-09,0
109,0,-2.098e-06,0
110,0,1.5363e-05,0
111,0,5.043e-06,0
112,5.882e-06,0,0
113,0,-5.2e-07,0
114,0,-2.411e-06,0
115,0,-2.387e-06,0
116,0,-2.004e-06,0
117,0,-2.838e-06,0
118,0,1.3112e-05,0
119,0,0,0
120,0,-4.7e-07,0
121,0,5.662e-06,0
122,0,1.882e-06,0
123,0,-1.1005e-05,0
124,0,-2.1882e-05,0
125,0,0,0
126,0,1.164e-06,0
127,0,1.1361e-05,0
128,8.768e-06,0,0
129,0,2.276e-05,0
130,0,3.458e-05,0
131,0,0,0
132,0,-2.055e-05,0
133,0,3.19e-05,0
134,0,-2.2025e-05,0
135,3.4341e-05,0,0
136,0,0,0
137,0,4.9021e-05,0
138,0,-3.0179e-05,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
207,0,0,0
208,0,-3.13e-07,0
209,0,1.638e-06,0
210,0,-1.5128e-05,0
211,0,-6.427e-06,0
212,5.891e-06,0,0
214,0,1.654e-06,0
215,0,1.358e-06,0
216,0,2.462e-06,0
217,0,3.532e-06,0
218,0,-1.2022e-05,0
219,0,0,0
220,0,2.464e-06,0
221,0,-2.572e-06,0
222,0,-8.32e-07,0
223,0,1.0172e-05,0
224,0,2.1839e-05,0
225,0,0,0
227,0,-8.361e-06,0
228,6.05e-06,0,0
229,0,-2.5321e-05,0
230,0,-3.4532e-05,0
231,0,0,0
232,0,1.4454e-05,0
233,0,-5.0283e-05,0
234,0,2.6683e-05,0
235,3.7349e-05,0,0
236,0,0,0
237,0,-5.0026e-05,0
238,0,4.5715e-05,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
301,0,0,0
302,0,-4.506e-06,0
303,0,-7.946e-06,0
304,0,2.5447e-05,0
305,0,-1.5114e-05,0
306,0,0,0
307,0,0,0
308,0,-1.315e-06,0
309,0,1.722e-06,0
310,0,-1.2224e-05,0
311,0,-2.1025e-05,0
312,-4.724e-06,0,0
313,0,6.1e-08,0
314,0,2.089e-06,0
315,0,2.424e-06,0
316,0,2.258e-06,0
317,0,3.232e-06,0
318,0,3.5e-08,0
319,0,0,0
320,0,1.297e-06,0
321,0,-8.59e-07,0
322,0,-6.744e-06,0
323,0,1.5065e-05,0
324,0,1.0502e-05,0
325,0,0,0
326,0,-9.35e-07,0
327,0,-1.5731e-05,0
328,-1.1956e-05,0,0
329,0,-1.1682e-05,0
330,0,-2.8903e-05,0
331,0,0,0
332,0,3.869e-06,0
333,0,-3.786e-06,0
334,0,-5.386e-06,0
335,-3.2553e-05,0,0
336,0,0,0
337,0,-4.2173e-05,0
338,0,2.7835e-05,0
339,0,0,0
340,0,0,0
341,0,0,0
342,0,0,0
343,0,0,0
407,0,0,0
408,0,1.576e-06,0
409,0,-1.967e-06,0
410,0,1.2485e-05,0
411,0,2.1801e-05,0
412,-4.757e-06,0,0
414,0,-2.267e-06,0
415,0,-2.535e-06,0
416,0,-1.963e-06,0
417,0,-3.588e-06,0
418,0,-2e-08,0
419,0,0,0
420,0,-1.496e-06,0
421,0,1.28e-07,0
422,0,6.99e-06,0
423,0,-1.4558e-05,0
424,0,-1.0462e-05,0
425,0,0,0
427,0,1.9323e-05,0
428,-1.183e-05,0,0
429,0,1.0755e-05,0
430,0,2.8236e-05,0
431,0,0,0
432,0,-3.677e-06,0
433,0,-5.31e-07,0
434,0,7.452e-06,0
435,-3.2459e-05,0,0
436,0,0,0
437,0,4.2038e-05,0
438,0,-2.6676e-05,0
439,0,0,0
440,0,0,0
441,0,0,0
442,0,0,0
443,0,0,0
