Index,ID,X Position,Y Position,Z Position,Type,Subnet,Address,Orientation,Primary Axis Sensor Offset,Primary Axis Sensor Sensitivity,Secondary Axis Sensor Offset,Secondary Axis Sensor Sensitivity
0,101,776.78278,0.00000,-89.00000,SAA,2,1,NA,0,3,0,3
1,102,1442.56799,0.00000,-89.00000,DAA,1,17,+Y,0,3,0,3
2,103,2108.37793,0.00000,-89.00000,DAA,4,17,+Y,0,3,0,3
3,104,2774.18799,0.00000,-89.00000,DAA,3,17,+Y,0,3,0,3
4,105,3439.99805,0.00000,-89.00000,DAA,2,17,+Y,0,3,0,3
5,106,3968.01294,0.00000,-89.00000,SAA,3,1,NA,0,3,0,3
6,107,443.86499,-576.60498,-89.00000,SAA,1,1,NA,0,3,0,3
7,108,1109.67505,-576.60498,-89.00000,DAA,4,18,+Y,0,3,0,3
8,109,1775.48499,-576.60498,-89.00000,DAA,3,18,+Y,0,3,0,3
9,110,2441.29590,-576.60498,-89.00000,DAA,2,18,+Y,0,3,0,3
10,111,3107.08008,-576.60498,-89.00000,DAA,1,18,+Y,0,3,0,3
11,112,3772.89111,-576.60498,-89.00000,DAA,4,19,-X,0,3,0,3
12,113,0.00000,-1153.20996,-89.00000,DAA,3,19,+Y,0,3,0,3
13,114,776.78278,-1153.20996,-89.00000,DAA,2,19,+Y,0,3,0,3
14,115,1442.56799,-1153.20996,-89.00000,DAA,1,19,+Y,0,3,0,3
15,116,2108.37793,-1153.20996,-89.00000,DAA,4,20,+Y,0,3,0,3
16,117,2774.18799,-1153.20996,-89.00000,DAA,3,20,+Y,0,3,0,3
17,118,3439.99805,-1153.20996,-89.00000,DAA,2,20,+Y,0,3,0,3
18,119,3900.50000,-997.68701,-89.00000,SAA,3,2,NA,0,3,0,3
19,120,443.86499,-1729.81995,-89.00000,DAA,1,20,+Y,0,3,0,3
20,121,1109.67505,-1729.81995,-89.00000,DAA,4,21,+Y,0,3,0,3
21,122,1775.48499,-1729.81995,-89.00000,DAA,3,21,+Y,0,3,0,3
22,123,2441.27002,-1729.81995,-89.00000,DAA,2,21,+Y,0,3,0,3
23,124,3107.08008,-1729.81995,-89.00000,DAA,1,21,+Y,0,3,0,3
24,125,3724.45288,-1517.94995,-89.00000,SAA,4,1,NA,0,3,0,3
25,126,0.00000,-2306.41992,-89.00000,DAA,3,22,+Y,0,3,0,3
26,127,776.78278,-2306.41992,-89.00000,DAA,2,22,+Y,0,3,0,3
27,128,1442.56799,-2306.41992,-89.00000,DAA,1,22,-X,0,3,0,3
28,129,2108.37793,-2306.41992,-89.00000,DAA,4,22,+Y,0,3,0,3
29,130,2774.18799,-2306.41992,-89.00000,DAA,3,23,+Y,0,3,0,3
30,131,3387.95410,-2167.40991,-89.00000,SAA,2,2,NA,0,3,0,3
31,132,443.86499,-2883.03003,-89.00000,DAA,1,23,+Y,0,3,0,3
32,133,1109.67505,-2883.03003,-89.00000,DAA,4,23,+Y,0,3,0,3
33,134,1775.48499,-2883.03003,-89.00000,DAA,3,24,+Y,0,3,0,3
34,135,2441.27002,-2883.03003,-89.00000,DAA,2,23,-X,0,3,0,3
35,136,2939.36401,-2745.17993,-89.00000,SAA,4,2,NA,0,3,0,3
36,137,221.94521,-3459.62988,-89.00000,DAA,3,25,+Y,0,3,0,3
37,138,887.72998,-3459.62988,-89.00000,DAA,2,24,+Y,0,3,0,3
38,139,1553.54004,-3267.42993,-89.00000,SAA,1,2,NA,0,3,0,3
39,140,2089.73389,-3436.38989,-89.00000,SAA,4,3,NA,0,3,0,3
40,141,365.73459,-4005.25000,-89.00000,SAA,1,3,NA,0,3,0,3
41,142,1085.08801,-3872.76001,-89.00000,SAA,3,3,NA,0,3,0,3
42,143,1604.01001,-3692.78003,-89.00000,SAA,2,3,NA,0,3,0,3
43,207,-443.86499,-576.60498,-89.00000,SAA,1,4,NA,0,3,0,3
